id;name;description;product_item_category_enum;item_stage
1;Handmade SQL Investment;Handcrafted Health;PRODUCT;FIXED
2;Human IB;Customer;PRODUCT;BETA
3;interactive;drive Factors;PRODUCT;PROMOTIONAL
4;Toys Data;Account end-to-end;PRODUCT;EXPIRED
5;Locks Research;protocol SMTP;PRODUCT;DISCONTINUED
6;deposit Usability compress;bifurcated Avon;SERVICE;BETA
7;Beauty Buckinghamshire;Harbor Shirt;PRODUCT;BUNDLE
8;Refined indexing Intelligent;Metrics;SERVICE;DISCONTINUED
9;calculate;hybrid Sausages non-volatile;SERVICE;Active
10;Regional monetize;asymmetric Vermont Cheese;PRODUCT;RESTRICTED
